CC,inner_fold_idx
301015,0
301023,0
301026,0
14501004,0
301009,0
1101014,0
1101006,0
1401014,0
1401015,0
1401018,0
1401010,0
2101006,0
2101012,0
2201025,0
3601006,0
4701002,0
4701016,0
4701019,0
4801003,0
6201008,0
6801002,0
8702052,0
8702053,0
8702047,0
8702037,0
8702022,0
8702024,0
8703113,0
8703008,0
8703024,0
8703098,0
8703099,0
8703039,0
8703041,0
8703042,0
8703079,0
8703080,0
8703084,0
8703085,0
8703090,0
8703091,0
8703094,0
8703058,0
8703064,0
8703069,0
8703071,0
8703072,0
8703055,0
8706001,0
8706006,0
8706028,0
8706039,0
8706038,0
8707003,0
8707018,0
8708010,0
8709004,0
8709055,0
8709056,0
8709016,0
8709020,0
8709021,0
8709057,0
8709012,0
8709047,0
8709050,0
10101014,0
10101008,0
10501001,0
11101001,0
12701007,0
12701010,0
12701003,0
13402004,0
13402005,0
13402007,0
13402014,0
14501027,0
14501030,0
14501012,0
14501041,0
14501042,0
14501022,0
14501024,0
14901001,0
17501011,0
17501002,0
17501007,0
19301007,0
19301021,0
19301002,0
19301018,0
90501027,0
90501010,0
90501030,0
90501031,0
90501039,0
90501041,0
90501044,0
90501015,0
90501020,0
90501022,0
91101004,0
301014,1
301025,1
301008,1
301011,1
301012,1
301032,1
301033,1
1101004,1
1401020,1
1401021,1
1401001,1
1401005,1
2101011,1
2101004,1
2101016,1
2101013,1
2201011,1
2201007,1
3601001,1
3601007,1
4701017,1
6801001,1
8401014,1
8401006,1
8401013,1
8401019,1
14501001,1
8702028,1
8702005,1
8702009,1
8702032,1
8702049,1
8702050,1
8702020,1
8703112,1
8703110,1
8703108,1
8703097,1
8703001,1
8703022,1
8703013,1
8703026,1
8703104,1
8703017,1
8703020,1
8703030,1
8703043,1
8703093,1
8703095,1
8703068,1
8703073,1
8703075,1
8703048,1
8703054,1
8703036,1
8706037,1
8706010,1
8706013,1
8706014,1
8706015,1
8706017,1
8707017,1
8707013,1
8707007,1
8707008,1
8707023,1
8708008,1
8709006,1
8709007,1
8709027,1
8709030,1
8709036,1
8709054,1
8709003,1
8709024,1
8709025,1
8709058,1
8709049,1
10101003,1
10101010,1
13402001,1
13402002,1
13402012,1
14501052,1
14501008,1
14501014,1
14501048,1
14501035,1
14901006,1
15801002,1
17501005,1
17501003,1
19301019,1
19301023,1
19301003,1
19301026,1
19301006,1
90501018,1
90501034,1
90501013,1
90501014,1
90501001,1
91101002,1
301016,2
301019,2
301021,2
8709041,2
301029,2
301003,2
301001,2
301002,2
1101002,2
1401022,2
1401023,2
1401024,2
1401025,2
1401004,2
1401008,2
2101009,2
2101005,2
2201001,2
2201016,2
2201012,2
2202020,2
3601004,2
3601005,2
4701004,2
4701018,2
4701014,2
6201010,2
6201006,2
8401005,2
8401009,2
8401012,2
14501002,2
14501003,2
8701002,2
8701001,2
8702027,2
8702015,2
8702018,2
8702002,2
8702004,2
8702039,2
8702043,2
8703109,2
8703005,2
8703006,2
8703007,2
8703014,2
8703081,2
8703082,2
8703086,2
8703067,2
8703033,2
8703050,2
8703051,2
8703056,2
8706003,2
8706008,2
8706026,2
8706027,2
8706032,2
8706034,2
8707006,2
8707015,2
8707011,2
8708011,2
8709001,2
8709029,2
8709032,2
8709034,2
8709039,2
8709022,2
8709015,2
8709046,2
9901004,2
10101002,2
10101006,2
12701006,2
12701012,2
12701013,2
12702004,2
14501050,2
14501010,2
14501037,2
14501043,2
14501047,2
14501019,2
14501021,2
14501023,2
14501006,2
14901002,2
14901004,2
19301009,2
19301020,2
19301025,2
90501026,2
90501002,2
90501035,2
90501017,2
90501024,2
90501007,2
90501009,2
91101001,2
91101003,2
301017,3
301020,3
301022,3
2101001,3
301007,3
301028,3
1101003,3
1101008,3
1401011,3
1401009,3
2201010,3
2201022,3
2202013,3
3601003,3
4701003,3
4701006,3
4701001,3
4701012,3
4701020,3
4801002,3
6201009,3
6201001,3
6201003,3
8401016,3
8401020,3
8702014,3
8702011,3
8702001,3
8702055,3
8702012,3
8702013,3
8702006,3
8702008,3
8702041,3
8702045,3
8702023,3
8703111,3
8703106,3
8703010,3
8703011,3
8703101,3
8703102,3
8703004,3
8703016,3
8703021,3
8703045,3
8703088,3
8703057,3
8703061,3
8703063,3
8703066,3
8703032,3
8703070,3
8703074,3
8703077,3
8703035,3
8703038,3
8706012,3
8706021,3
8706020,3
8706031,3
8706036,3
8706022,3
8706023,3
8706025,3
8707021,3
8707010,3
8708006,3
8708007,3
8708009,3
8709033,3
8709023,3
8709060,3
8709061,3
8709013,3
8709051,3
9901003,3
10101011,3
10101012,3
10101004,3
10101005,3
11101002,3
12701009,3
13402020,3
13402026,3
13402013,3
14501049,3
14501028,3
14501031,3
14501015,3
14501018,3
14501007,3
14901005,3
17501001,3
19301024,3
19301005,3
90501028,3
90501004,3
90501045,3
90501029,3
90501021,3
90501023,3
91101007,3
301018,4
8708002,4
15001001,4
1101010,4
1401013,4
1401003,4
2101010,4
2101003,4
2101007,4
4701005,4
4701008,4
4701009,4
4701013,4
4701010,4
4701022,4
4701015,4
6201002,4
6201004,4
8401007,4
8701003,4
8702026,4
8702029,4
8702054,4
8702056,4
8702017,4
8702019,4
8702031,4
8702007,4
8702010,4
8702035,4
8702038,4
8702042,4
8702044,4
8703114,4
8703105,4
8703023,4
8703027,4
8703015,4
8703040,4
8703083,4
8703029,4
8703060,4
8703065,4
8703076,4
8703052,4
8703034,4
8706005,4
8706007,4
8706009,4
8706011,4
8706041,4
8706016,4
8707005,4
8707012,4
8707014,4
8707020,4
8707009,4
8709002,4
8709005,4
8709026,4
8709031,4
8709037,4
8709040,4
8709011,4
8709017,4
8709018,4
8709019,4
8709059,4
8709052,4
9901006,4
10101013,4
10101001,4
10101009,4
12601001,4
12701008,4
12701011,4
12702005,4
13402019,4
14401001,4
14501051,4
14501036,4
14501029,4
14501011,4
14501039,4
14501044,4
14501045,4
14501020,4
14501026,4
14501016,4
15301001,4
15701001,4
17501004,4
17501010,4
18901001,4
19301008,4
19301001,4
19301016,4
19301017,4
90501025,4
90501037,4
90501036,4
90501006,4
