CC,inner_fold_idx
301015,0
301024,0
301027,0
2201023,0
8708002,0
301004,0
301012,0
301033,0
301005,0
301001,0
1101002,0
1401017,0
1401014,0
1401023,0
1401006,0
2101007,0
2201010,0
2202013,0
2202017,0
2202026,0
4701003,0
4701009,0
4701001,0
4701016,0
4701021,0
6801002,0
8401006,0
8702001,0
8702025,0
8702052,0
8702054,0
8702031,0
8702007,0
8702046,0
8702048,0
8703109,0
8703105,0
8703013,0
8703101,0
8703102,0
8703026,0
8703028,0
8703016,0
8703018,0
8703044,0
8703078,0
8703081,0
8703082,0
8703092,0
8703059,0
8703065,0
8703032,0
8703073,0
8703074,0
8703049,0
8703056,0
8703037,0
8706007,0
8706008,0
8706041,0
8706027,0
8707004,0
8707016,0
8708001,0
8708008,0
8709002,0
8709009,0
8709038,0
8709039,0
8709022,0
8709024,0
8709058,0
8709014,0
8709015,0
8709048,0
8709049,0
8709052,0
10101012,0
10101004,0
11101003,0
13402002,0
13402005,0
13402007,0
13402016,0
13402019,0
14501036,0
14501027,0
14501029,0
14501012,0
14501040,0
14501046,0
17501004,0
19301019,0
19301023,0
19301018,0
90501004,0
90501031,0
90501038,0
90501042,0
90501044,0
90501012,0
90501016,0
91101004,0
301014,1
301021,1
301025,1
301003,1
1101001,1
1101004,1
1101010,1
1401012,1
1401024,1
1401025,1
1401001,1
2101016,1
2201009,1
3601002,1
3601005,1
4701007,1
4701022,1
4801003,1
6801001,1
8401002,1
8401007,1
8401009,1
8401019,1
8702028,1
8702057,1
8702012,1
8702017,1
8702030,1
8702004,1
8702047,1
8702049,1
8702033,1
8702034,1
8702040,1
8702041,1
8702022,1
8703111,1
8703114,1
8703115,1
8703100,1
8703022,1
8703025,1
8703027,1
8703098,1
8703104,1
8703004,1
8703040,1
8703043,1
8703046,1
8703047,1
8703089,1
8703064,1
8703068,1
8703033,1
8703051,1
8703034,1
8703038,1
8706009,1
8706030,1
8706019,1
8706029,1
8706015,1
8707003,1
8707013,1
8707021,1
8707010,1
8708010,1
