CC,inner_fold_idx
301016,0
301020,0
301027,0
301009,0
301028,0
301002,0
1101008,0
1401022,0
1401002,0
2101003,0
2101004,0
2101007,0
2101012,0
2101013,0
2201011,0
2201012,0
2202020,0
2202026,0
3601002,0
3601003,0
4701001,0
4701021,0
4701017,0
6201008,0
6201006,0
6201007,0
8401014,0
14501002,0
8702001,0
8702025,0
8702056,0
8702012,0
8702013,0
8702016,0
8702030,0
8702048,0
8702049,0
8702036,0
8702041,0
8703106,0
8703009,0
8703101,0
8703025,0
8703098,0
8703103,0
8703104,0
8703004,0
8703015,0
8703031,0
8703039,0
8703042,0
8703079,0
8703090,0
8703029,0
8703088,0
8703063,0
8703069,0
8703032,0
8703072,0
8703075,0
8703049,0
8703052,0
8703003,0
8703035,0
8706002,0
8706007,0
8706009,0
8706010,0
8706012,0
8706035,0
8706025,0
8707005,0
8707012,0
8707008,0
8707023,0
8707011,0
8709002,0
8709005,0
8709025,0
8709048,0
8709049,0
10101009,0
11101003,0
12701007,0
12701011,0
13402016,0
14501017,0
14501049,0
14501012,0
14501045,0
14501019,0
14501033,0
19301010,0
19301001,0
19301022,0
19301018,0
90501026,0
90501036,0
90501021,0
90501001,0
90501006,0
90501008,0
91101006,0
301026,1
2201023,1
301007,1
301008,1
301011,1
301029,1
1101001,1
1101011,1
1401015,1
1401006,1
2201009,1
2201001,1
2201007,1
3601007,1
4701005,1
4701006,1
4701011,1
4701002,1
4701010,1
6801002,1
8401007,1
8702011,1
8702026,1
8702055,1
8702057,1
8702015,1
8702017,1
8702018,1
8702006,1
8702008,1
8702009,1
8702034,1
8702037,1
8702039,1
8702042,1
8702045,1
8703111,1
8703113,1
8703107,1
8703012,1
8703102,1
8703014,1
8703002,1
8703040,1
8703046,1
8703047,1
8703083,1
8703085,1
8703092,1
8703094,1
8703086,1
8703064,1
8703068,1
8703074,1
8703048,1
8703055,1
8706005,1
8706039,1
8706032,1
8706029,1
8706014,1
8707010,1
8708011,1
8708012,1
8708001,1
8709030,1
8709003,1
8709019,1
8709021,1
8709015,1
8709047,1
9901001,1
9901006,1
10101011,1
10101003,1
10101014,1
10101008,1
12701006,1
12701003,1
12701012,1
13402004,1
13402006,1
13402014,1
13402015,1
13402019,1
14501050,1
14501047,1
14501020,1
14501024,1
14501034,1
14901001,1
15801001,1
17501005,1
17501001,1
18901001,1
19301011,1
19301019,1
19301023,1
19301003,1
19301005,1
90501040,1
90501012,1
90501013,1
8709041,2
1101009,2
1101010,2
1401017,2
1401012,2
1401020,2
1401021,2
1401001,2
1401004,2
1401007,2
2101016,2
2201025,2
2202017,2
3601004,2
3601005,2
4701003,2
4701008,2
4701009,2
4701018,2
4701019,2
4701022,2
4801002,2
6201004,2
8401009,2
8701002,2
8702029,2
8702051,2
8702052,2
8702031,2
8702050,2
8702033,2
8702038,2
8702020,2
8702024,2
8703115,2
8703105,2
8703007,2
8703013,2
8703026,2
8703028,2
8703016,2
8703019,2
8703043,2
8703057,2
8703060,2
8703066,2
8703067,2
8703051,2
8703034,2
8703037,2
8706004,2
8706040,2
8706023,2
8707004,2
8707007,2
8707019,2
8707016,2
8709006,2
8709010,2
8709026,2
8709028,2
8709031,2
8709032,2
8709039,2
8709056,2
8709022,2
8709023,2
8709024,2
8709059,2
8709050,2
9901003,2
10101004,2
11101004,2
13402003,2
13402007,2
13402020,2
13402022,2
14401001,2
14501030,2
14501031,2
14501010,2
14501014,2
14501037,2
14501043,2
14501044,2
14501006,2
14501007,2
14501016,2
15301003,2
15301001,2
16501003,2
17501007,2
19301021,2
19301024,2
90501027,2
90501031,2
90501043,2
90501046,2
90501014,2
90501015,2
90501017,2
90501009,2
91101007,2
301019,3
15001001,3
301004,3
1101002,3
1101004,3
1101005,3
1101014,3
1401018,3
1401023,3
1401003,3
1401005,3
1401008,3
2101010,3
2101005,3
2101006,3
2201022,3
3601001,3
4701007,3
4701012,3
4701014,3
6201009,3
6201010,3
6201001,3
8401002,3
8401011,3
14501003,3
8702027,3
8702053,3
8702019,3
8702002,3
8703108,3
8703097,3
8703100,3
8703024,3
8703018,3
8703020,3
8703078,3
8703095,3
8703062,3
8703033,3
8703071,3
8703076,3
8703053,3
8703038,3
8706001,3
8706003,3
8706037,3
8706027,3
8706028,3
8706018,3
8706019,3
8706036,3
8706038,3
8706016,3
8706017,3
8706024,3
8707014,3
8707022,3
8707020,3
8708006,3
8709009,3
8709033,3
8709036,3
8709011,3
8709020,3
8709057,3
8709058,3
8709013,3
8709014,3
8709051,3
8709052,3
8709053,3
10101013,3
10101005,3
10101007,3
11101002,3
12601001,3
13402012,3
13402013,3
14501052,3
14501028,3
14501029,3
14501015,3
14501041,3
14501048,3
14501022,3
14501025,3
15301004,3
16501001,3
17501010,3
17501006,3
17501002,3
19301002,3
90501028,3
90501002,3
90501003,3
90501038,3
90501045,3
90501035,3
90501016,3
90501024,3
91101001,3
91101003,3
301015,4
301021,4
301023,4
301024,4
301012,4
301005,4
301001,4
1101003,4
1401011,4
2101011,4
2202013,4
4701004,4
4701013,4
4701020,4
4701015,4
4801001,4
6801001,4
8401017,4
8401018,4
8401005,4
8401006,4
8401012,4
8401019,4
8401020,4
14501001,4
8702014,4
8702005,4
8702007,4
8702032,4
8702046,4
8702040,4
8702044,4
8702021,4
8703112,4
8703114,4
8703110,4
8703096,4
8703005,4
8703006,4
8703008,4
8703010,4
8703023,4
8703044,4
8703084,4
8703089,4
8703058,4
8703059,4
8703061,4
8703065,4
8703070,4
8703056,4
8706021,4
8706030,4
8706031,4
8706034,4
8706022,4
8708008,4
8709001,4
8709004,4
8709034,4
8709038,4
8709055,4
8709016,4
8709018,4
8709062,4
8709012,4
9901004,4
10101012,4
10101002,4
10501001,4
11101001,4
12701008,4
12701002,4
12701013,4
13402005,4
13402021,4
13402026,4
14501032,4
14501008,4
14501009,4
14501013,4
14501040,4
14501046,4
14501021,4
14501023,4
14501026,4
15801002,4
16501002,4
17501004,4
19301008,4
19301015,4
19301020,4
19301025,4
19301026,4
19301016,4
19301006,4
90501018,4
90501010,4
90501041,4
90501042,4
90501020,4
90501023,4
